Scans,Initial Time,Final Time,Temperature[°C],Condutivity[mS/cm],Salinity[PSU],Conductance[S]
60,2018-07-24 13:54:43.107379,2018-07-24 13:55:43.569377,27.29936516666667,2.296412466666667,1.1201165666666668,997.3215816666667,1504.0796166666664,0.4959140633333333
60,2018-07-24 13:55:43.582939,2018-07-24 13:56:44.040742,27.283311333333334,2.2964167666666673,1.12049145,997.326345,1504.0400166666666,0.49591499833333325
60,2018-07-24 13:56:44.054532,2018-07-24 13:57:44.506239,27.271386333333332,2.296510466666667,1.1208164833333332,997.3299283333333,1504.0105833333334,0.495935225
60,2018-07-24 13:57:44.519796,2018-07-24 13:58:44.969457,27.260223333333336,2.2963423333333335,1.1209896000000001,997.3331800000002,1503.98295,0.49589892666666663
60,2018-07-24 13:58:44.983053,2018-07-24 13:59:45.448091,27.251123833333335,2.2965731333333332,1.1213195833333336,997.335955,1503.9605666666669,0.49594875333333327
60,2018-07-24 13:59:45.461734,2018-07-24 14:00:45.917049,27.243250166666662,2.2964155,1.1214217333333332,997.338225,1503.9409999999998,0.49591471499999995
60,2018-07-24 14:00:45.931097,2018-07-24 14:01:46.392977,27.238606333333333,2.2968202333333334,1.1217377333333336,997.3397616666667,1503.9297333333334,0.496002135
60,2018-07-24 14:01:46.406522,2018-07-24 14:02:46.866195,27.24142883333333,2.2964417333333333,1.1214775666666668,997.3387733333333,1503.9365000000003,0.49592037833333324
60,2018-07-24 14:02:46.880195,2018-07-24 14:03:47.344755,27.234097999999996,2.29629645,1.1215734666666668,997.3409,1503.9182833333334,0.4958890183333333
60,2018-07-24 14:03:47.358382,2018-07-24 14:04:47.829800,27.203848333333333,2.2962758666666665,1.1222669500000002,997.3498483333334,1503.8434999999997,0.49588458500000004
60,2018-07-24 14:04:47.843402,2018-07-24 14:05:48.303015,27.188778333333335,2.296509783333334,1.1227381833333332,997.3543933333333,1503.80625,0.4959350866666667
60,2018-07-24 14:05:48.340867,2018-07-24 14:06:48.811550,27.190815,2.296302716666666,1.1225843666666668,997.3537083333334,1503.81115,0.49589035833333334
60,2018-07-24 14:06:48.825254,2018-07-24 14:07:49.291842,27.192879500000004,2.2962827000000003,1.12252595,997.3530916666666,1503.8163000000002,0.4958860416666668
60,2018-07-24 14:07:49.305868,2018-07-24 14:08:49.760402,27.175774333333337,2.2965095500000006,1.1230411833333334,997.3582416666667,1503.7740333333334,0.4959350416666667
60,2018-07-24 14:08:49.774028,2018-07-24 14:09:50.234905,27.160708166666666,2.296240033333333,1.1232538333333333,997.3625933333334,1503.73655,0.4958768233333333
60,2018-07-24 14:09:50.248627,2018-07-24 14:10:50.722139,27.137987833333334,2.2963255499999993,1.1238280166666665,997.3693333333333,1503.6802500000001,0.49589529
60,2018-07-24 14:10:50.735831,2018-07-24 14:11:51.207447,27.128488333333337,2.296857616666666,1.1243236666666665,997.3723516666665,1503.65705,0.4960101816666667
60,2018-07-24 14:11:51.247638,2018-07-24 14:12:51.714936,27.135462999999998,2.296689066666667,1.1240741333333333,997.3702283333334,1503.6742333333334,0.4959737966666666
60,2018-07-24 14:12:51.728533,2018-07-24 14:13:52.183488,27.12881283333333,2.2965622666666667,1.1241641333333332,997.3721433333334,1503.65765,0.4959464166666666
60,2018-07-24 14:13:52.197184,2018-07-24 14:14:52.658485,27.11931483333333,2.2963707500000003,1.1242872666666668,997.3748716666668,1503.6339999999998,0.495905065
60,2018-07-24 14:14:52.672147,2018-07-24 14:15:53.143056,27.11641016666667,2.2966106166666664,1.1244786166666667,997.3758166666668,1503.6269333333332,0.49595685500000003
60,2018-07-24 14:15:53.156778,2018-07-24 14:16:53.619631,27.119368166666668,2.296648166666666,1.1244288666666666,997.3749633333332,1503.6343000000002,0.4959649733333334
60,2018-07-24 14:16:53.633206,2018-07-24 14:17:54.109945,27.1271585,2.296296233333334,1.1240656333333334,997.3725283333334,1503.6533833333335,0.4958889483333333
60,2018-07-24 14:17:54.123787,2018-07-24 14:18:54.580145,27.1385025,2.2961780000000003,1.1237400666666666,997.36912,1503.6815166666663,0.49586343
60,2018-07-24 14:18:54.594001,2018-07-24 14:19:55.074559,27.148764000000003,2.296225216666666,1.1235249999999999,997.3661116666666,1503.7069000000001,0.4958736366666666
60,2018-07-24 14:19:55.088261,2018-07-24 14:20:55.552108,27.154545833333334,2.2961225833333327,1.123337183333333,997.3643716666666,1503.7212,0.4958514383333333
60,2018-07-24 14:20:55.565767,2018-07-24 14:21:56.037340,27.1547635,2.2964783166666662,1.1235150833333336,997.3644499999999,1503.7219166666664,0.49592829
60,2018-07-24 14:21:56.051238,2018-07-24 14:22:56.513671,27.166327333333342,2.296894033333334,1.1234591833333334,997.361195,1503.7508333333333,0.49601804999999993
60,2018-07-24 14:22:56.527342,2018-07-24 14:23:56.988427,27.176887,2.296380566666667,1.1229488666666663,997.3578666666668,1503.7767999999999,0.49590717999999995
60,2018-07-24 14:23:57.002165,2018-07-24 14:24:57.471516,27.190135833333333,2.2965678166666663,1.12273635,997.3540166666666,1503.8096666666665,0.4959476
60,2018-07-24 14:24:57.485229,2018-07-24 14:25:57.946966,27.19507883333334,2.296687833333333,1.1226830333333333,997.3525883333332,1503.8219833333337,0.4959735216666667
